N,종목명,현재가,전일비변동,전일비,등락률,액면가,거래량,거래대금,매수호가,시가총액,영업이익,PER,액면가,전일거래량,시가,매도호가,자산총계,영업이익증가율,액면가,고가,매수총잔량,부채총계,당기순이익,외국인비율,액면가,저가,매도총잔량,상장주식수,매출액,주당순이익,액면가,보통주배당금
63,국일제지,800,보합,0,0.00%,100,0,0,0,"9,019",-13,-88.89,100,0,0,0,"1,424",19.80,100,0,0,194,-130,0.82,100,0,0,"1,127,406",564,-9,100,N/A
64,로보티즈,"68,200",상승,100,+0.15%,500,"608,313","40,528","68,100","9,011",-30,"1,337.25",500,"1,192,284","68,100","68,200","1,002",43.88,500,"68,800","20,811",42,-30,10.57,500,"64,000","13,591","13,213",300,51,500,0
65,유일로보틱스,"77,200",하락,"2,400",-3.02%,500,"122,941","9,477","77,200","8,865",4,168.19,500,"222,138","78,000","77,500","1,174",106.14,500,"78,600","3,623",224,-91,15.70,500,"75,500","3,099","11,483",352,459,500,N/A
66,넥슨게임즈,"13,430",하락,300,-2.18%,500,"494,633","6,623","13,430","8,845",387,28.21,500,"352,095","13,670","13,440","4,872",222.40,500,"13,840","18,195","1,745",314,4.68,500,"13,110","5,574","65,860","2,561",476,500,N/A
67,덕산네오룩스,"35,550",상승,100,+0.28%,200,"135,536","4,809","35,550","8,827",525,19.47,200,"458,487","35,750","35,600","4,523",59.39,200,"36,000","8,063",533,458,7.35,200,"35,050","4,629","24,831","2,123","1,826",200,N/A
68,원텍,"9,750",하락,220,-2.21%,100,"999,443","9,775","9,740","8,720",348,24.81,100,"992,272","10,060","9,750","1,779",-24.43,100,"10,060","11,033",511,291,6.77,100,"9,620","30,160","89,439","1,153",393,100,50
69,필옵틱스,"37,600",상승,"2,000",+5.62%,500,"1,538,703","57,865","37,600","8,605",138,170.14,500,"422,034","37,100","37,650","3,827",34.40,500,"38,350","20,375","1,441",129,2.45,500,"36,700","15,393","22,886","4,109",221,500,0
70,동성화인텍,"28,000",상승,"1,950",+7.49%,500,"1,061,125","28,887","27,950","8,397",540,21.16,500,"311,126","26,100","28,000","4,555",35.13,500,"28,450","16,843","2,530",393,16.65,500,"25,950","7,027","29,989","5,974","1,323",500,350
71,디앤디파마텍,"77,700",하락,"4,400",-5.36%,500,"378,853","29,999","77,600","8,351",-250,-24.63,500,"332,798","81,600","77,700",975,-85.50,500,"83,200","3,300",279,-295,3.71,500,"76,500","2,045","10,747",114,"-3,155",500,0
72,와이씨,"10,060",상승,130,+1.31%,100,"665,461","6,784","10,060","8,254",106,96.73,100,"372,881","10,060","10,070","5,769",23.66,100,"10,440","12,782","1,586",129,0.83,100,"9,900","7,025","82,045","2,112",104,100,N/A
